constructorId,name,nationality,relation
1,McLaren,British,1
2,BMW Sauber,German,2
3,Williams,British,3
4,Renault,French,4
5,Toro Rosso,Italian,5
6,Ferrari,Italian,6
7,Toyota,Japanese,7
8,Super Aguri,Japanese,8
9,Red Bull,Austrian,9
10,Force India,Indian,10
11,Honda,Japanese,11
12,Spyker,Dutch,8
13,MF1,Russian,8
14,Spyker MF1,Dutch,8
15,Sauber,Swiss,11
16,BAR,British,16
17,Jordan,Irish,17
18,Minardi,Italian,18
19,Jaguar,British,19
20,Prost,French,20
21,Arrows,British,21
22,Benetton,Italian,22
23,Brawn,British,23
24,Stewart,British,24
25,Tyrrell,British,25
26,Lola,British,26
27,Ligier,French,27
28,Forti,Italian,28
29,Footwork,British,29
30,Pacific,British,30
31,Simtek,British,31
32,Team Lotus,British,32
33,Larrousse,French,33
34,Brabham,British,14
35,Dallara,Italian,35
36,Fondmetal,Italian,36
37,March,British,18
38,Andrea Moda,Italian,38
39,AGS,French,39
40,Lambo,Italian,40
41,Leyton House,British,41
42,Coloni,Italian,42
44,Euro Brun,Italian,44
45,Osella,Italian,45
46,Onyx,British,46
47,Life,Italian,47
48,Rial,German,48
49,Zakspeed,German,49
50,RAM,British,50
51,Alfa Romeo,Swiss,11
52,Spirit,British,52
53,Toleman,British,53
54,ATS,Italian,54
55,Theodore,Hong Kong,55
56,Fittipaldi,Brazilian,56
57,Ensign,British,57
58,Shadow,British,13
59,Wolf,Canadian,59
60,Merzario,Italian,60
61,Kauhsen,German,61
62,Rebaque,Mexican,62
63,Surtees,British,63
64,Hesketh,British,64
65,Martini,French,65
66,BRM,British,66
67,Penske,American,67
68,LEC,British,68
69,McGuire,Australian,69
70,Boro,Dutch,70
71,Apollon,Swiss,71
72,Kojima,Japanese,72
73,Parnelli,American,73
74,Maki,Japanese,74
75,Embassy Hill,British,75
76,Lyncar,British,76
77,Trojan,British,77
78,Amon,New Zealander,78
79,Token,British,79
80,Iso Marlboro,British,80
81,Tecno,Italian,81
82,Matra,French,82
83,Politoys,British,83
84,Connew,British,84
85,Bellasi,Swiss,85
86,De Tomaso,Italian,15
87,Cooper,British,12
88,Eagle,American,17
89,LDS,South African,16
90,Protos,British,90
91,Shannon,British,91
92,Scirocco,British,92
93,RE,Rhodesian,93
94,BRP,British,94
95,Porsche,German,95
96,Derrington,British,96
97,Gilby,British,97
98,Stebro,Canadian,98
99,Emeryson,British,99
100,ENB,Belgian,100
101,JBW,British,101
102,Ferguson,British,102
103,MBM,Swiss,103
104,Behra-Porsche,Italian,104
105,Maserati,Italian,105
106,Scarab,American,106
107,Watson,American,107
108,Epperly,American,108
109,Phillips,American,109
110,Lesovsky,American,110
111,Trevis,American,111
112,Meskowski,American,112
113,Kurtis Kraft,American,113
114,Kuzma,American,114
115,Christensen,American,115
116,Ewing,American,116
117,Aston Martin,British,10
118,Vanwall,British,118
119,Moore,American,119
120,Dunn,American,120
121,Elder,American,121
122,Sutton,American,122
123,Fry,British,123
124,Tec-Mec,Italian,124
125,Connaught,British,125
126,Alta,British,126
127,OSCA,Italian,127
128,Gordini,French,128
129,Stevens,American,129
130,Bugatti,French,130
131,Mercedes,German,131
132,Lancia,Italian,132
133,HWM,British,133
134,Schroeder,American,134
135,Pawl,American,135
136,Pankratz,American,136
137,Arzani-Volpini,Italian,137
138,Nichels,American,138
139,Bromme,American,139
140,Klenk,German,140
141,Simca,French,141
142,Turner,American,142
143,Del Roy,American,143
144,Veritas,German,144
145,BMW,German,145
146,EMW,East German,146
147,AFM,German,147
148,Frazer Nash,British,148
149,Sherman,American,149
150,Deidt,American,150
151,ERA,British,151
152,Aston Butterworth,British,152
153,Cisitalia,Italian,153
154,Talbot-Lago,French,154
155,Hall,American,155
156,Marchese,American,156
157,Langley,American,157
158,Rae,American,158
159,Olson,American,159
160,Wetteroth,American,160
161,Adams,American,161
162,Snowberger,American,162
163,Milano,Italian,163
164,HRT,Spanish,164
167,Cooper-Maserati,British,12
166,Virgin,British,166
168,Cooper-OSCA,British,12
169,Cooper-Borgward,British,12
170,Cooper-Climax,British,12
171,Cooper-Castellotti,British,12
172,Lotus-Climax,British,7
173,Lotus-Maserati,British,7
174,De Tomaso-Osca,Italian,15
175,De Tomaso-Alfa Romeo,Italian,15
176,Lotus-BRM,British,176
177,Lotus-Borgward,British,177
178,Cooper-Alfa Romeo,British,12
179,De Tomaso-Ferrari,Italian,15
180,Lotus-Ford,British,180
181,Brabham-BRM,British,14
182,Brabham-Ford,British,14
183,Brabham-Climax,British,14
184,LDS-Climax,South African,16
185,LDS-Alfa Romeo,South African,16
186,Cooper-Ford,British,12
187,McLaren-Ford,British,1
188,McLaren-Serenissima,British,1
189,Eagle-Climax,American,17
190,Eagle-Weslake,American,17
191,Brabham-Repco,British,14
192,Cooper-Ferrari,British,12
193,Cooper-ATS,British,12
194,McLaren-BRM,British,194
195,Cooper-BRM,British,12
196,Matra-Ford,French,196
197,BRM-Ford,British,197
198,McLaren-Alfa Romeo,British,1
199,March-Alfa Romeo,British,18
200,March-Ford,British,18
201,Lotus-Pratt &amp; Whitney,British,201
202,Shadow-Ford,British,13
203,Shadow-Matra,British,13
204,Brabham-Alfa Romeo,British,14
205,Lotus,Malaysian,7
206,Marussia,Russian,9
207,Caterham,Malaysian,207
208,Lotus F1,British,208
209,Manor Marussia,British,9
210,Haas F1 Team,American,210
211,Racing Point,British,10
213,AlphaTauri,Italian,5
214,Alpine F1 Team,French,4
